id,raw_id,name,lon,lat,x,y,adname
station:BV10039888,BV10039888,共富新村(地铁站),121.42942782007371,31.356889796122434,13517462.070367526,3679185.329827847,宝山区
station:BV10026230,BV10026230,刘行(地铁站),121.35775039612228,31.359402202583667,13509482.976032991,3679512.8501484673,宝山区
station:BV10820970,BV10820970,南大路(地铁站),121.37570026827079,31.301078823626504,13511481.14666009,3671911.9989830875,宝山区
station:BV10030226,BV10030226,南陈路(地铁站),121.39375992572353,31.32353740659808,13513491.538531352,3674838.301102467,宝山区
station:BV10039886,BV10039886,友谊西路(地铁站),121.42330616726218,31.383087725284675,13516780.61109383,3682600.9536619103,宝山区
station:BV10039983,BV10039983,友谊路(地铁站),121.47139329895154,31.40589979350743,13522133.646106452,3685575.9129856983,宝山区
station:BV10029799,BV10029799,呼兰路(地铁站),121.43308365072413,31.341521437382593,13517869.035573902,3677182.0825986867,宝山区
station:BV09356945,BV09356945,呼玛东路(地铁站),121.4599113055516,31.34529726808234,13520855.47644806,3677674.227296667,宝山区
station:BV10039869,BV10039869,场中路(地铁站),121.40880359151242,31.30548863596486,13515166.191746403,3672486.5324236113,宝山区
station:BV10039867,BV10039867,大华三路(地铁站),121.4183053193176,31.27587235138815,13516223.919247182,3668628.483688511,宝山区
station:BV10030231,BV10030231,大场镇(地铁站),121.4115053274975,31.295071247458097,13515466.947620474,3671129.3437672597,宝山区
station:BV10039887,BV10039887,宝安公路(地铁站),121.4262724919089,31.371353907619213,13517110.820842983,3681071.008627689,宝山区
station:BV10026163,BV10026163,宝杨路(地铁站),121.47505631652957,31.39721144318186,13522541.41135795,3684442.765704683,宝山区
station:BV10039885,BV10039885,富锦路(地铁站),121.42000896512381,31.394044982528445,13516413.568230797,3684029.8173794774,宝山区
station:BV09336070,BV09336070,康文路(地铁站),121.41467529372846,31.337117561341675,13515819.826647088,3676608.102936542,宝山区
station:BV10029541,BV10029541,张华浜(地铁站),121.49422407960425,31.359980097957298,13524675.156982772,3679588.186520842,宝山区
station:BV10039987,BV10039987,殷高西路(地铁站),121.4803630088841,31.32194132502462,13523132.149648571,3674630.3122796863,宝山区
station:BV11639105,BV11639105,殷高路(地铁站),121.4911049443028,31.32367241699714,13524327.936429348,3674855.8947596997,宝山区
station:BV10039984,BV10039984,水产路(地铁站),121.4837606763241,31.383227661402028,13523510.376257822,3682619.2007579934,宝山区
station:BV10039981,BV10039981,江杨北路(地铁站),121.43518974837997,31.409658761827806,13518103.485292478,3686066.1956109144,宝山区
station:BV11184133,BV11184133,江杨南路(地铁站),121.46075326882765,31.351775168131446,13520949.2033712,3678518.6078274846,宝山区
station:BV09024031,BV09024031,泰和路(地铁站),121.46312737546887,31.36484990522922,13521213.487713555,3680223.0492676343,宝山区
station:BV10039985,BV10039985,淞发路(地铁站),121.49595040076403,31.347108586525714,13524867.330175199,3677910.3229567073,宝山区
station:BV10026162,BV10026162,淞滨路(地铁站),121.48834886989746,31.37287041256501,13524021.13163,3681268.731408419,宝山区
station:BV10039871,BV10039871,潘广路(地铁站),121.35123069292852,31.36600611949883,13508757.20599344,3680373.786423088,宝山区
station:BV11508870,BV11508870,爱辉路(地铁站),121.44472817309111,31.34598969841053,13519165.297874143,3677764.4813454114,宝山区
station:BV10030597,BV10030597,祁华路(地铁站),121.36888936831244,31.32420193928511,13510722.960744988,3674924.898825874,宝山区
station:BV10032414,BV10032414,罗南新村(地铁站),121.35285047967062,31.39064498732771,13508937.519828739,3683586.428567758,宝山区
station:BV10039872,BV10039872,美兰湖(地铁站),121.34528819169373,31.40371184501269,13508095.689782036,3685290.5476803556,宝山区
station:BV10039868,BV10039868,行知路(地铁站),121.41712413525902,31.286315963214996,13516092.430439265,3669988.8118644995,宝山区
station:BV10878602,BV10878602,通南路(地铁站),121.47512449605281,31.339591930693068,13522549.001067758,3676930.5968279587,宝山区
station:BV10031109,BV10031109,通河新村(地铁站),121.43692692099344,31.332957750076226,13518296.866463203,3676065.958153965,宝山区
station:BV10039982,BV10039982,铁力路(地铁站),121.45656190878788,31.409964259065028,13520482.62330591,3686106.0425100117,宝山区
station:BV11581695,BV11581695,铁山路(地铁站),121.45059734314796,31.388091649546393,13519818.650896162,3683253.4617694514,宝山区
station:BV09149112,BV09149112,铁通路(地铁站),121.44782566772925,31.39379899222333,13519510.109399948,3683997.737575075,宝山区
station:BV10820985,BV10820985,锦秋路(地铁站),121.37711599841997,31.321990589800173,13511638.745019374,3674636.732025814,宝山区
